source,target,rel,weight
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Kitchenware,CHILD_OF,1.0
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Major Appliances,CHILD_OF,1.0
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Small Appliances,CHILD_OF,1.0
Staples::Appliances & Kitchenware,OfficeDepot::In Room Solutions > Appliances,SAME_AS,0.4729
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,"Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Restaurant & Foodservice Supplies > Tabletop > Dinnerware,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Restaurant & Foodservice Supplies > Tabletop > Placemats & Tablecloths,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Dinnerware",SAME_AS,0.7427
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Serveware",SAME_AS,0.7427
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,OfficeDepot::In Room Solutions > Kitchen Accessories,SAME_AS,0.7287
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,OfficeDepot::Cleaning > Safety & Security > Clothing Protection & Workwear > Aprons,SAME_AS,0.7347
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,"Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,"Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Grilling Products,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Meat Preparation Equipment,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,"Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Skillets & Braising Pans,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,OfficeDepot::Breakroom > Appliances > Kitchen,SAME_AS,0.472
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,OfficeDepot::Breakroom > Cookware > Bakeware,SAME_AS,0.754
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Cooking Utensils",SAME_AS,0.7371
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans,OfficeDepot::Breakroom > Cookware > Pots & Pans,SAME_AS,0.754
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Food Warmers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Freezers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Range Hoods,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,OfficeDepot::Breakroom > Appliances > Kitchen > Dishwashers,SAME_AS,0.7534
Staples::Appliances & Kitchenware > Major Appliances > Food Warmers,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Major Appliances > Freezers,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Delivery Options,CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Equipment Parts & Accessories,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Food Display & Merchandising,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Kitchen Work & Prep Tables,CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Restaurant & Foodservice Supplies > Commercial Restaurant Equipment > Refrigerated Prep Tables,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,OfficeDepot::Breakroom > Appliances > Kitchen > Ice Makers,SAME_AS,0.5619
Staples::Appliances & Kitchenware > Major Appliances > Range Hoods,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,CROSS_LISTED_UNDER,1.0
