uid,retailer,name,path,level,items,is_leaf,in_scope,coreness
Staples::Appliances & Kitchenware,Staples,Appliances & Kitchenware,Appliances & Kitchenware,1,1942.0,False,True,0.2323076923076923
Staples::Appliances & Kitchenware > Kitchenware,Staples,Kitchenware,Appliances & Kitchenware > Kitchenware,2,880.0,False,True,0.27385826771653543
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples,Dining & Tableware,Appliances & Kitchenware > Kitchenware > Dining & Tableware,3,257.0,False,True,0.2731944444444444
"Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",Staples,"Carafes, Pitchers & Tumblers","Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",4,23.0,True,True,0.24584347826086955
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,Staples,Drinkware & Glassware,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,4,15.0,True,True,0.2361391304347826
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Staples,Flatware & Cutlery,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,4,37.0,True,True,0.25523478260869564
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,Staples,Salt and Pepper Shakers & Mills,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,4,8.0,True,True,0.22142608695652174
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Staples,Tableware,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,4,36.0,True,True,0.25439999999999996
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples,Kitchen Accessories,Appliances & Kitchenware > Kitchenware > Kitchen Accessories,3,880.0,False,True,0.28791666666666665
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,Staples,Aprons,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,4,5.0,True,True,0.21276521739130433
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,Staples,Cookbooks & Recipe Holders,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,4,632.0,True,True,0.29478260869565215
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,Staples,Kitchen Storage & Organization,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,4,236.0,True,True,0.28768695652173915
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,Staples,Oven Mitts & Potholders,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,4,7.0,True,True,0.21954782608695653
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples,Kitchen Tools,Appliances & Kitchenware > Kitchenware > Kitchen Tools,3,375.0,False,True,0.27805555555555556
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,Staples,Bakeware,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,4,14.0,True,True,0.2344695652173913
