source,target,rel,weight
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Kitchenware,CHILD_OF,1.0
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Major Appliances,CHILD_OF,1.0
Staples::Appliances & Kitchenware,Staples::Appliances & Kitchenware > Small Appliances,CHILD_OF,1.0
Staples::Appliances & Kitchenware,OfficeDepot::In Room Solutions > Appliances,SAME_AS,0.4399
Staples::Appliances & Kitchenware,Walmart::Home > Appliances,SAME_AS,0.3608
Staples::Appliances & Kitchenware,Walmart::Home > Dorm Room Essentials > Dorm Appliances,SAME_AS,0.3872
Staples::Appliances & Kitchenware,Walmart::Health and Medicine > Caregiver > Smart Devices > Smart Appliances,SAME_AS,0.3982
Staples::Appliances & Kitchenware,Walmart::Walmart for Business > Breakroom Supplies > Breakroom Appliances > Specialty Appliances,SAME_AS,0.4262
Staples::Appliances & Kitchenware,Walmart::Walmart for Business > Breakroom Supplies > Breakroom Appliances > Other Cooking Appliances,SAME_AS,0.4472
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,"Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Restaurant & Foodservice Supplies > Tabletop > Dinnerware,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Restaurant & Foodservice Supplies > Tabletop > Placemats & Tablecloths,CROSS_LISTED_UNDER,0.3333
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,Amazon::Home & Kitchen > Kitchen & Dining > Bar Tools & Drinkware,SAME_AS,0.4602
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,Amazon::Home & Kitchen > Kitchen & Dining > Glassware & Drinkware,SAME_AS,0.6447
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,Amazon::Home & Kitchen > Kitchen & Dining > Travel & To-Go Drinkware,SAME_AS,0.4185
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Cutlery",SAME_AS,0.7302
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,WestElm::Kitchen & Dining > Dinnerware & Flatware,SAME_AS,0.5446
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,WestElm::Kitchen & Dining > Dinnerware & Flatware > Flatware,SAME_AS,0.7497
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Wayfair::Kitchen > Tableware & Drinkware > Flatware & Silverware,SAME_AS,0.4384
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Wayfair::Smallwares > Outdoor Serving & Tableware > Outdoor Flatware,SAME_AS,0.5171
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Wayfair::Shop Restaurant Spaces > Dining Room > Flatware & Silverware,SAME_AS,0.4326
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Party & Occasions > Christmas Party Supplies > Christmas Tableware > Christmas Napkins Cutlery,SAME_AS,0.3812
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Party & Occasions > New Years Eve Party Supplies > New Years Party Tableware > New Years Napkins Cutlery,SAME_AS,0.4014
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Home > Kitchen & Dining > Dining & Entertaining > Flatware,SAME_AS,0.7455
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Home > Kitchen & Dining > Kitchen Knives Knife Block Sets and Cutlery > Cutlery Sets,SAME_AS,0.5174
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Home > Featured Shops > KitchenAid > Kitchenaid Cutlery,SAME_AS,0.4201
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Walmart::Industrial & Scientific > Food Service Equipment & Supplies > Smallwares > Kitchen Cutlery,SAME_AS,0.5091
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,Wayfair::Kitchen > Kitchen Utensils & Tools > Salt & Pepper Shakers & Mills,SAME_AS,0.736
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,Wayfair::Smallwares > Serveware > Salt & Pepper Shakers & Mills,SAME_AS,0.8276
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,Walmart::Home > Kitchen & Dining > Tools & Gadgets > Salt Pepper Shakers Mills,SAME_AS,0.7265
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Dinnerware",SAME_AS,0.7411
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,"OfficeDepot::Breakroom > Cups, Plates & Cutlery > Serveware",SAME_AS,0.7411
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,WestElm::Kitchen & Dining > Dinnerware & Flatware,SAME_AS,0.5446
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,WestElm::Kitchen & Dining > Dinnerware & Flatware > Dinnerware Sets,SAME_AS,0.5482
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,WestElm::Kitchen & Dining > Dinnerware & Flatware > Outdoor Dinnerware,SAME_AS,0.5132
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,WestElm::Kitchen & Dining > Serveware,SAME_AS,0.8273
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Kitchen > Tableware & Drinkware > Dinnerware,SAME_AS,0.8137
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Kitchen > Tableware & Drinkware > Serveware,SAME_AS,0.8137
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Kitchen > Tableware & Drinkware > Disposable Tableware,SAME_AS,0.471
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Kitchen > Tableware & Drinkware > Outdoor Serving & Tableware,SAME_AS,0.4142
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Holiday > Easter > Easter Tableware & Linens,SAME_AS,0.3306
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Outdoor Serving & Tableware,SAME_AS,0.3365
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Outdoor Serving & Tableware > Outdoor Dinnerware Sets,SAME_AS,0.4262
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Outdoor Serving & Tableware > Outdoor Beverage Serveware,SAME_AS,0.3698
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Outdoor Serving & Tableware > Disposable Tableware,SAME_AS,0.4367
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Serveware,SAME_AS,0.736
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Serveware > Condiment & Snack Serveware,SAME_AS,0.4046
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Tabletop > Dinnerware > Dinnerware Sets,SAME_AS,0.5791
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Tabletop > Dinnerware > Casual Dinnerware Sets,SAME_AS,0.423
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Shop Restaurant Spaces > Dining Room > Dinnerware,SAME_AS,0.8079
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Shop Restaurant Spaces > Outdoor Dining > Outdoor Serving & Tableware,SAME_AS,0.3908
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Amazon::Home & Kitchen > Event & Party Supplies > Tableware,SAME_AS,0.7293
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Wedding Shop > Wedding Party Supplies > Wedding Party Tableware,SAME_AS,0.4506
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Party Supplies > Party Tableware,SAME_AS,0.5353
