uid,retailer,name,path,level,items,n_leaves,is_leaf,coreness
Staples::Appliances & Kitchenware,Staples,Appliances & Kitchenware,Appliances & Kitchenware,1,1942.0,90,False,0.3871794871794872
Staples::Appliances & Kitchenware > Kitchenware,Staples,Kitchenware,Appliances & Kitchenware > Kitchenware,2,880.0,25,False,0.4567282321899736
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware,Staples,Dining & Tableware,Appliances & Kitchenware > Kitchenware > Dining & Tableware,3,257.0,7,False,0.46226415094339623
"Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",Staples,"Carafes, Pitchers & Tumblers","Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",4,23.0,1,True,0.4051376146788991
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,Staples,Drinkware & Glassware,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,4,15.0,1,True,0.38807339449541284
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,Staples,Flatware & Cutlery,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,4,37.0,1,True,0.42128440366972475
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,Staples,Salt and Pepper Shakers & Mills,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,4,8.0,1,True,0.3636697247706422
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Staples,Tableware,Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,4,36.0,1,True,0.4198165137614679
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories,Staples,Kitchen Accessories,Appliances & Kitchenware > Kitchenware > Kitchen Accessories,3,880.0,25,False,0.4889308176100629
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,Staples,Aprons,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,4,5.0,1,True,0.34844036697247704
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,Staples,Cookbooks & Recipe Holders,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,4,632.0,22,True,0.4908256880733945
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,Staples,Kitchen Storage & Organization,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,4,236.0,1,True,0.47834862385321103
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,Staples,Oven Mitts & Potholders,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,4,7.0,1,True,0.36036697247706423
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples,Kitchen Tools,Appliances & Kitchenware > Kitchenware > Kitchen Tools,3,375.0,14,False,0.4710691823899371
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,Staples,Bakeware,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,4,14.0,1,True,0.38513761467889907
"Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",Staples,"Cake, Cookie & Pastry Decorations","Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",4,3.0,1,True,0.33064220183486237
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,Staples,Cooking Utensils,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,4,73.0,1,True,0.4511926605504587
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards,Staples,Cutting Boards,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards,4,39.0,1,True,0.4238532110091743
"Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",Staples,"Food Mills, Shavers & Spice Grinders","Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",4,3.0,1,True,0.33064220183486237
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Grilling Products,Staples,Grilling Products,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Grilling Products,4,9.0,1,True,0.3673394495412844
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools,Staples,Kitchen Pizza Tools,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools,4,5.0,1,True,0.34844036697247704
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,Staples,Kitchen Tools & Gadgets,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,4,102.0,1,True,0.46110091743119264
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Meat Preparation Equipment,Staples,Meat Preparation Equipment,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Meat Preparation Equipment,4,2.0,1,True,0.3222018348623853
Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls,Staples,Mixing Bowls,Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls,4,16.0,1,True,0.3910091743119266
