competitor,method,uid,path_str,sem_path,depth,is_leaf,n_leaves,subtree_items,count_known,best_staples,best_staples_uid,best_score,best_sem,best_lex,alt_staples,status,match_set,A_raw,AAS_leaf,CRS_leaf,coverage,coverage_leaf,coverage_items,AAS,AAS_ppr,sibling_coverage,CRS,crs_driver,n_gap_leaves,gap_leaves_example,concept_id
OfficeDepot,G,OfficeDepot::Breakroom,Breakroom,Breakroom,1,False,79,4187.0,True,Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,Staples::Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,0.60082316,,0.60082316,Furniture > Decor > Wall Art > Food & Kitchen Art | Appliances & Kitchenware > Kitchenware > Kitchen Tools | Furniture > Home & Office Tables > Breakroom & Dining Tables,matched,Staples::Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks | Staples::Furniture > Decor > Wall Art > Food & Kitchen Art,0.23765079912336215,100.0,72.85922195540255,0.9777983348751156,0.8987341772151899,0.9777983348751156,97.38991269826288,97.38991269826288,,72.85922195540255,"Coffee, Water & Snacks > Breakroom Appliances",8,"Food Slicers, Stoves, Stir Sticks, Teapots & Kettles",5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances,Breakroom > Appliances,Breakroom > Appliances,2,False,25,1104.0,True,"Coffee, Water & Snacks > Breakroom Appliances","Staples::Coffee, Water & Snacks > Breakroom Appliances",0.6222367,,1.0,Appliances & Kitchenware | Appliances & Kitchenware > Small Appliances | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances",-0.07413788271849843,100.0,76.32189973614776,0.971945701357466,0.92,0.971945701357466,93.89850709514573,96.04548632639867,0.8888888888888888,76.32189973614776,"Coffee, Water & Snacks > Breakroom Appliances",2,"Food Slicers, Stoves",0
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling,Breakroom > Appliances > Heating & Cooling,Breakroom > Appliances > Heating & Cooling,3,False,5,383.0,True,Facilities > Heating & Cooling,Staples::Facilities > Heating & Cooling,0.697546,,1.0,"Computers & Accessories > Computer Accessories & Peripherals > Laptop Cooling Pads | Retail Store Supplies > Spa & Salon > Spa & Massage > Heating & Warming Pads | Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Coffee Makers & Espresso Machines",matched,Staples::Facilities > Heating & Cooling,0.04951572775296627,100.0,61.50395778364116,1.0,1.0,1.0,96.61506900410293,99.45009857728992,0.9,63.04600226612149,Facilities > Heating & Cooling,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,4,True,1,122.0,True,Facilities > Heating & Cooling > Air Conditioners,Staples::Facilities > Heating & Cooling > Air Conditioners,0.79619443,,0.8257339,Retail Store Supplies > Spa & Salon > Hair > Shampoo & Conditioner | Facilities > Air Quality > Air Filter Accessories | Computers & Accessories,matched,Staples::Facilities > Heating & Cooling > Air Conditioners,0.045985792754354465,100.0,64.18867924528303,1.0,1.0,1.0,100.0,100.0,1.0,64.18867924528303,Facilities > Heating & Cooling > Air Conditioners,0,,248
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,4,True,1,54.0,True,Facilities > Air Quality > Air Purifier Filters,Staples::Facilities > Air Quality > Air Purifier Filters,0.71140075,,0.9606301,Facilities > Air Quality > Air Purifiers | Facilities > Heating & Cooling > Air Conditioners | Facilities > Air Quality > Air Filter Accessories,matched,Staples::Facilities > Air Quality > Air Purifier Filters,0.6159395662823794,100.0,58.83522012578616,1.0,1.0,1.0,100.0,100.0,1.0,58.83522012578616,Facilities > Air Quality > Air Purifiers,0,,196
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Fans,Breakroom > Appliances > Heating & Cooling > Fans,Breakroom > Appliances > Heating & Cooling > Fans,4,True,1,99.0,True,Facilities > Heating & Cooling > Ceiling Fans,Staples::Facilities > Heating & Cooling > Ceiling Fans,0.6146616,,0.5715879,Facilities > Heating & Cooling > Bathroom Fans | Facilities > Heating & Cooling > Industrial Fans | Facilities > Heating & Cooling > General Purpose Fans,matched,Staples::Facilities > Heating & Cooling > Ceiling Fans | Staples::Facilities > Heating & Cooling > Bathroom Fans | Staples::Facilities > Heating & Cooling > Industrial Fans,0.09822082657906017,100.0,67.21761006289309,1.0,1.0,1.0,100.0,100.0,1.0,67.21761006289309,Facilities > Heating & Cooling > Ceiling Fans,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Heaters,Breakroom > Appliances > Heating & Cooling > Heaters,Breakroom > Appliances > Heating & Cooling > Heaters,4,True,1,86.0,True,Facilities > Heating & Cooling > Heaters,Staples::Facilities > Heating & Cooling > Heaters,0.9206702,,1.0,Gift Shop > Professional Gifts > Compasses > Outdoor Heaters | Facilities > Heating & Cooling > Air Conditioners | Facilities > Heating & Cooling > Bathroom Fans,matched,Staples::Facilities > Heating & Cooling > Heaters,-0.23619718005657972,97.55102040816325,61.37106918238994,1.0,1.0,1.0,98.28571428571428,97.55102040816325,1.0,61.37106918238994,Facilities > Heating & Cooling > Heaters,0,,5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Humidifiers,Breakroom > Appliances > Heating & Cooling > Humidifiers,Breakroom > Appliances > Heating & Cooling > Humidifiers,4,True,1,22.0,True,Facilities > Air Quality > Humidifiers,Staples::Facilities > Air Quality > Humidifiers,0.7395221,,1.0,Facilities > Air Quality > Dehumidifiers | Facilities > Heating & Cooling > Heaters | Facilities > Heating & Cooling > Air Conditioners,matched,Staples::Facilities > Air Quality > Humidifiers,-0.1074456810478488,100.0,54.82012578616352,1.0,1.0,1.0,100.0,100.0,1.0,54.82012578616352,Facilities > Air Quality > Humidifiers,0,,199
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen,Breakroom > Appliances > Kitchen,Breakroom > Appliances > Kitchen,3,False,15,675.0,True,Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,Staples::Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,0.44044054,,0.60082316,Appliances & Kitchenware > Kitchenware > Kitchen Tools | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets | Appliances & Kitchenware > Kitchenware > Kitchen Accessories,matched,Staples::Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,-0.13323264898977163,100.0,46.92576517099105,0.9540740740740741,0.8666666666666667,0.9540740740740741,96.43740589569161,94.91057985098801,1.0,54.89424435724418,Appliances & Kitchenware > Kitchenware > Kitchen Tools,2,"Food Slicers, Stoves",5
OfficeDepot,G,OfficeDepot::Breakroom > Appliances > Kitchen > Blenders,Breakroom > Appliances > Kitchen > Blenders,Breakroom > Appliances > Kitchen > Blenders,4,True,1,90.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0.5001521,,0.5450872,"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders | Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",-0.17273752774972603,100.0,73.56226415094339,1.0,1.0,1.0,95.71428571428572,100.0,0.8571428571428571,73.56226415094339,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0,,104
