encoder,w_self_competitor,ctx_decay_competitor,w_self_staples,top1_hybrid_pooled
spacy,0.3,0.35,0.55,0.6701208981001727
spacy,0.3,0.35,0.7,0.689119170984456
spacy,0.3,0.35,0.85,0.6614853195164075
spacy,0.3,0.35,1.0,0.6424870466321243
spacy,0.3,0.5,0.55,0.6632124352331606
spacy,0.3,0.5,0.7,0.6822107081174439
spacy,0.3,0.5,0.85,0.6597582037996546
spacy,0.3,0.5,1.0,0.6424870466321243
spacy,0.4,0.35,0.55,0.6649395509499136
spacy,0.4,0.35,0.7,0.6839378238341969
spacy,0.4,0.35,0.85,0.6753022452504318
spacy,0.4,0.35,1.0,0.6563039723661486
spacy,0.4,0.5,0.55,0.6563039723661486
spacy,0.4,0.5,0.7,0.6753022452504318
spacy,0.4,0.5,0.85,0.6718480138169257
spacy,0.4,0.5,1.0,0.6442141623488774
spacy,0.55,0.35,0.55,0.6338514680483592
spacy,0.55,0.35,0.7,0.6459412780656304
spacy,0.55,0.35,0.85,0.6390328151986183
spacy,0.55,0.35,1.0,0.6217616580310881
spacy,0.55,0.5,0.55,0.6321243523316062
spacy,0.55,0.5,0.7,0.6476683937823834
spacy,0.55,0.5,0.85,0.6355785837651122
spacy,0.55,0.5,1.0,0.613126079447323
spacy,1.0,0.35,0.55,0.5751295336787565
spacy,1.0,0.35,0.7,0.5682210708117443
spacy,1.0,0.35,0.85,0.5647668393782384
spacy,1.0,0.35,1.0,0.5613126079447323
spacy,1.0,0.5,0.55,0.5751295336787565
spacy,1.0,0.5,0.7,0.5682210708117443
spacy,1.0,0.5,0.85,0.5647668393782384
spacy,1.0,0.5,1.0,0.5613126079447323
