encoder,status,competitor,n_labelled,top1_vector_only,top1_hybrid,seconds
st,unavailable (ProxyError),,,,,
spacy,ok,Amazon,87.0,0.5977011494252874,0.5517241379310345,7.1
spacy,ok,OfficeDepot,198.0,0.7424242424242424,0.8434343434343434,7.2
spacy,ok,Walmart,97.0,0.5463917525773195,0.5876288659793815,7.2
spacy,ok,Wayfair,91.0,0.42857142857142855,0.5494505494505495,7.2
spacy,ok,WestElm,106.0,0.5849056603773585,0.6981132075471698,7.3
wordllama,ok,Amazon,87.0,0.5172413793103449,0.5517241379310345,0.6
wordllama,ok,OfficeDepot,198.0,0.7171717171717171,0.8232323232323232,0.7
wordllama,ok,Walmart,97.0,0.5567010309278351,0.5463917525773195,0.7
wordllama,ok,Wayfair,91.0,0.37362637362637363,0.5054945054945055,0.8
wordllama,ok,WestElm,106.0,0.5660377358490566,0.6886792452830188,0.8
tfidf,ok,Amazon,87.0,0.4827586206896552,0.5057471264367817,4.9
tfidf,ok,OfficeDepot,198.0,0.6414141414141414,0.7474747474747475,5.0
tfidf,ok,Walmart,97.0,0.4536082474226804,0.5154639175257731,5.1
tfidf,ok,Wayfair,91.0,0.34065934065934067,0.43956043956043955,5.1
tfidf,ok,WestElm,106.0,0.49056603773584906,0.6132075471698113,5.2
