competitor,method,uid,path_str,sem_path,depth,is_leaf,n_leaves,subtree_items,count_known,best_staples,best_staples_uid,best_score,best_sem,best_lex,alt_staples,status,match_set,A_raw,AAS_leaf,CRS_leaf,coverage,coverage_leaf,coverage_items,AAS,CRS,crs_driver,n_gap_leaves,gap_leaves_example
OfficeDepot,V,OfficeDepot::Breakroom,Breakroom,Breakroom,1,False,79,4187.0,True,"Coffee, Water & Snacks > Breakroom Appliances","Staples::Coffee, Water & Snacks > Breakroom Appliances",0.7050332,0.74606496,0.6288314,"Furniture > Home & Office Tables > Breakroom & Dining Tables | Furniture > Chairs & Seating > Breakroom & Dining Chairs | Coffee, Water & Snacks > Breakroom Appliances > Napkin Dispensers",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances",0.40960208,11.685940353012784,76.32189973614776,0.9743293246993524,0.9493670886075948,0.9743293246993524,94.07560063352896,76.32189973614776,"Coffee, Water & Snacks > Breakroom Appliances",4,"Can Openers, Food Slicers, Stoves, Pantry"
OfficeDepot,V,OfficeDepot::Breakroom > Appliances,Breakroom > Appliances,Breakroom > Appliances,2,False,25,1104.0,True,"Coffee, Water & Snacks > Breakroom Appliances","Staples::Coffee, Water & Snacks > Breakroom Appliances",0.91495264,0.869158,1.0,Furniture > Home & Office Tables > Breakroom & Dining Tables | Furniture > Chairs & Seating > Breakroom & Dining Chairs | Appliances & Kitchenware,matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances",0.4834838,46.049908703590994,76.32189973614776,0.9601809954751132,0.88,0.9601809954751132,95.36065524107484,76.32189973614776,"Coffee, Water & Snacks > Breakroom Appliances",3,"Can Openers, Food Slicers, Stoves"
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling,Breakroom > Appliances > Heating & Cooling,Breakroom > Appliances > Heating & Cooling,3,False,5,383.0,True,Facilities > Heating & Cooling,Staples::Facilities > Heating & Cooling,0.881824,0.81819075,1.0,Retail Store Supplies > Spa & Salon > Spa & Massage > Heating & Warming Pads | Facilities > Heating & Cooling > Heaters | Computers & Accessories > Computer Accessories & Peripherals > Laptop Cooling Pads,matched,Staples::Facilities > Heating & Cooling,0.55858624,98.10103469263542,61.50395778364116,1.0,1.0,1.0,99.54900050693742,63.07919930374239,Facilities > Heating & Cooling,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,Breakroom > Appliances > Heating & Cooling > Air Conditioners & Accessories,4,True,1,122.0,True,Facilities > Heating & Cooling > Air Conditioners,Staples::Facilities > Heating & Cooling > Air Conditioners,0.8999109,0.94068736,0.8241834,Facilities > Air Quality > Air Filter Accessories | Facilities > Heating & Cooling | Facilities > Heating & Cooling > Heaters,matched,Staples::Facilities > Heating & Cooling > Air Conditioners,0.575842,100.0,64.22389937106918,1.0,1.0,1.0,100.0,64.22389937106918,Facilities > Heating & Cooling > Air Conditioners,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,Breakroom > Appliances > Heating & Cooling > Air Purifiers & Filters,4,True,1,54.0,True,Facilities > Air Quality > Air Purifier Filters,Staples::Facilities > Air Quality > Air Purifier Filters,0.8887358,0.85047984,0.9597827,Facilities > Air Quality > Air Purifiers | Facilities > Air Quality > Air Filter Accessories | Facilities > Heating & Cooling > Air Conditioners,matched,Staples::Facilities > Air Quality > Air Purifier Filters | Staples::Facilities > Air Quality > Air Purifiers,0.63327825,100.0,58.87044025157232,1.0,1.0,1.0,100.0,58.87044025157232,Facilities > Air Quality > Air Purifiers,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Fans,Breakroom > Appliances > Heating & Cooling > Fans,Breakroom > Appliances > Heating & Cooling > Fans,4,True,1,99.0,True,Facilities > Heating & Cooling > Ceiling Fans,Staples::Facilities > Heating & Cooling > Ceiling Fans,0.7657606,0.8710402,0.5702414,Facilities > Heating & Cooling > Bathroom Fans | Facilities > Heating & Cooling > Industrial Fans | Computers & Accessories > Computer Parts & Components > Computer Fans,matched,Staples::Facilities > Heating & Cooling > Ceiling Fans | Staples::Facilities > Heating & Cooling > Bathroom Fans | Staples::Facilities > Heating & Cooling > Industrial Fans,0.58969915,100.0,67.25283018867924,1.0,1.0,1.0,100.0,67.25283018867924,Facilities > Heating & Cooling > Ceiling Fans,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Heaters,Breakroom > Appliances > Heating & Cooling > Heaters,Breakroom > Appliances > Heating & Cooling > Heaters,4,True,1,86.0,True,Facilities > Heating & Cooling > Heaters,Staples::Facilities > Heating & Cooling > Heaters,0.979426,0.9683477,1.0,Gift Shop > Professional Gifts > Compasses > Outdoor Heaters | Facilities > Heating & Cooling | Retail Store Supplies > Spa & Salon > Spa & Massage > Heating & Warming Pads,matched,Staples::Facilities > Heating & Cooling > Heaters,0.57329094,100.0,61.406289308176085,1.0,1.0,1.0,100.0,61.406289308176085,Facilities > Heating & Cooling > Heaters,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Heating & Cooling > Humidifiers,Breakroom > Appliances > Heating & Cooling > Humidifiers,Breakroom > Appliances > Heating & Cooling > Humidifiers,4,True,1,22.0,True,Facilities > Air Quality > Humidifiers,Staples::Facilities > Air Quality > Humidifiers,0.9136437,0.8671443,1.0,Facilities > Air Quality > Dehumidifiers | Facilities > Heating & Cooling > Heaters | Facilities > Heating & Cooling > Air Conditioners,matched,Staples::Facilities > Air Quality > Humidifiers,0.5488657,92.14850882531954,54.82012578616352,1.0,1.0,1.0,92.14850882531954,54.82012578616352,Facilities > Air Quality > Humidifiers,0,
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Kitchen,Breakroom > Appliances > Kitchen,Breakroom > Appliances > Kitchen,3,False,15,675.0,True,Appliances & Kitchenware > Kitchenware > Kitchen Tools,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools,0.7809533,0.8530966,0.6469728,Appliances & Kitchenware > Kitchenware > Kitchen Accessories | Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks | Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,matched,Staples::Appliances & Kitchenware > Kitchenware > Kitchen Tools | Staples::Appliances & Kitchenware > Kitchenware > Kitchen Accessories | Staples::Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks,0.68321675,100.0,48.918238993710695,0.9348148148148148,0.8,0.9348148148148148,93.17059579360247,56.05052287173534,Appliances & Kitchenware > Kitchenware > Kitchen Accessories,3,"Can Openers, Food Slicers, Stoves"
OfficeDepot,V,OfficeDepot::Breakroom > Appliances > Kitchen > Blenders,Breakroom > Appliances > Kitchen > Blenders,Breakroom > Appliances > Kitchen > Blenders,4,True,1,90.0,True,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors","Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0.7210363,0.8167283,0.5433227,"Appliances & Kitchenware > Kitchenware > Kitchen Accessories | Appliances & Kitchenware > Kitchenware > Kitchen Tools | Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",matched,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0.5280864,78.18624467437616,73.60754716981133,1.0,1.0,1.0,78.18624467437616,73.60754716981133,"Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",0,
