source,target,score,rel
Amazon::Electronics > Marine Electronics > Marine Antennas,Walmart::Sports & Outdoors > Outdoor Sports > Fishing > Marine Electronics,0.6245396499648619,SIMILAR_TO
Wayfair::Baby & Kids > Teen Bedding > Teen Comforters & Sets,OfficeDepot::Furniture > Bedroom > Bedding > Comforters,0.6827499670917827,SIMILAR_TO
Wayfair::Baby & Kids > Teen Bedding > Teen Comforters & Sets,Amazon::Home & Kitchen > Bedding > Comforters & Sets,0.7793722950788544,SIMILAR_TO
Wayfair::Baby & Kids > Teen Bedding > Teen Comforters & Sets,Walmart::Home > Teens' Rooms > Teens' Bedding > Teens' Comforters Sets,0.9239035850197428,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Gardening & Lawn Care > Plant & Soil Monitoring",Wayfair::Outdoor > Garden > Plant Stands & Accessories,0.6381380763877004,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Gardening & Lawn Care > Plant & Soil Monitoring",Walmart::Patio & Garden > Garden Center > Landscaping Supplies > Soil,0.7543772149817397,SIMILAR_TO
Walmart::Seasonal > Easter > Easter Eggs,Wayfair::Holiday > Easter,0.754332135704285,SIMILAR_TO
"Amazon::Arts, Crafts & Sewing > Printmaking > Screen Printing",Walmart::Arts Crafts & Sewing > Crafting > Printmaking > Printing Presses Accessories,0.7482514772153607,SIMILAR_TO
WestElm::Furniture > Bedroom > Nightstands,Walmart::Home > Furniture > Bedroom Furniture > Nightstands,0.9820386035086499,SIMILAR_TO
Wayfair::Shop Contractor Spaces > Hallway & Mudroom > Doormats,WestElm::Rugs > Rugs By Type > Doormats,0.8928588726705868,SIMILAR_TO
Wayfair::Shop Contractor Spaces > Hallway & Mudroom > Doormats,Walmart::Home > Decor > Rugs > Doormats,0.929219014456053,SIMILAR_TO
Wayfair::Furniture > Bedroom Furniture > Armoires & Wardrobes,OfficeDepot::Furniture > Bedroom > Armoires & Wardrobes,0.9797906682595383,SIMILAR_TO
Wayfair::Furniture > Bedroom Furniture > Armoires & Wardrobes,Walmart::Home > Furniture > Bedroom Furniture > Armoires Wardrobes,0.984006757722255,SIMILAR_TO
Walmart::Patio & Garden > Outdoor Shade > Pergolas,"Amazon::Patio, Lawn & Garden > Patio Furniture & Accessories > Canopies, Gazebos & Pergolas",0.7536238784570121,SIMILAR_TO
Wayfair::Furniture > Bedroom Furniture > Makeup Vanities,Walmart::Home > Bath > Bathroom Furniture > Bathroom Vanities,0.7731299927839346,SIMILAR_TO
WestElm::Outdoor > Planters & Garden > Outdoor Planters,Wayfair::Outdoor > Garden > Planters,0.8743148864059023,SIMILAR_TO
WestElm::Outdoor > Planters & Garden > Outdoor Planters,Walmart::Patio & Garden > Patio & Outdoor Decor > Pots & Planters > Indoor Planters,0.8048922465181814,SIMILAR_TO
Wayfair::Shop Contractor Spaces > Bathroom Renovation > Bathroom Tiles & Flooring,OfficeDepot::Furniture > Bathroom,0.7099223084441798,SIMILAR_TO
Wayfair::Shop Contractor Spaces > Bathroom Renovation > Bathroom Tiles & Flooring,Amazon::Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures,0.675599850830705,SIMILAR_TO
Wayfair::Shop Contractor Spaces > Bathroom Renovation > Bathroom Tiles & Flooring,Walmart::Home Improvement > Bathroom Renovation > Bathroom Hardware,0.7344092994922884,SIMILAR_TO
Wayfair::Baby & Kids > Teen Bedroom Furniture > Teen Dressers,OfficeDepot::Furniture > Bedroom > Dressers,0.8430105180759149,SIMILAR_TO
Wayfair::Baby & Kids > Teen Bedroom Furniture > Teen Dressers,Walmart::Home > Furniture > Bedroom Furniture > Dressers,0.8401863520821411,SIMILAR_TO
"Wayfair::Holiday > Easter > Easter Wreaths, Garlands & Flowers",Walmart::Seasonal > Easter > Easter Decorations > Easter Wreaths Garland,0.8761990300834103,SIMILAR_TO
Amazon::Home & Kitchen > Kitchen & Dining > Home Brewing & Wine Making,Walmart::Home > Kitchen & Dining > Kitchen Storage & Organization > Wine Racks,0.6360352460330531,SIMILAR_TO
Walmart::Health and Medicine > Protein > Special K Protein Bars,Amazon::Health & Personal Care > Sports Nutrition > Protein,0.7035138043286686,SIMILAR_TO
"Wayfair::Shop Contractor Spaces > Hallway & Mudroom > Pet Gates, Fences & Doors",Walmart::Home Improvement > Doors and Gates > Doors,0.6465706478915393,SIMILAR_TO
Wayfair::Baby & Kids > Toddler & Kids Bedding & Bath > Bed Canopies,Amazon::Home & Kitchen > Bedding > Bed Canopies & Drapes,0.8219609818510532,SIMILAR_TO
Wayfair::Baby & Kids > Toddler & Kids Bedding & Bath > Bed Canopies,Walmart::Home > Kids' Rooms > Kids' Bedding > Bed Canopies,0.9745619604808364,SIMILAR_TO
Wayfair::Outdoor > Front Door Décor & Curb Appeal > House Numbers & Letters,Walmart::Home Improvement > Doors and Gates > Mailboxes and Mailbox Accessories > Numbers and Letters,0.7722656798505323,SIMILAR_TO
Wayfair::Outdoor > Outdoor Décor > Bird Houses,Walmart::Patio & Garden > Patio & Outdoor Decor > Bird Feeders Bird Houses > Bird Houses,0.8746432242330715,SIMILAR_TO
Wayfair::Bedding & Bath > Shower Curtains & Accessories > Shower Curtain Rods,WestElm::Bath > Bath Linens > Shower Curtains,0.8431571368267317,SIMILAR_TO
Wayfair::Bedding & Bath > Shower Curtains & Accessories > Shower Curtain Rods,Walmart::Home > Bath > Shower Curtains & Accessories > Shower Curtains,0.8867566660893129,SIMILAR_TO
WestElm::Kitchen & Dining > Serveware > Picnic Baskets,Wayfair::School Furniture & Supplies > Outdoor & Playground > Picnic Tables,0.733947729871164,SIMILAR_TO
WestElm::Kitchen & Dining > Serveware > Picnic Baskets,"Amazon::Patio, Lawn & Garden > Patio Furniture & Accessories > Picnic Baskets, Tables & Accessories",0.813566976608605,SIMILAR_TO
WestElm::Kitchen & Dining > Serveware > Picnic Baskets,Walmart::Patio & Garden > Patio Furniture > Patio Tables > Picnic Tables,0.731695345182807,SIMILAR_TO
Wayfair::Furniture > Living Room Furniture > Slipcovers,Walmart::Home > Decor > Slipcovers,0.9355796423694818,SIMILAR_TO
Amazon::Home & Kitchen > Home Décor > Vases,"Wayfair::Decor & Pillows > Decorative Accents > Vases, Urns, Jars & Bottles",0.6674292042017859,SIMILAR_TO
Amazon::Home & Kitchen > Home Décor > Vases,Walmart::Home > Decor > Vases,0.9661596008726119,SIMILAR_TO
Wayfair::Outdoor > Backyard Play > Trampolines,Walmart::Sports & Outdoors > Recreation > Trampolines,0.846415788433872,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Gardening & Lawn Care > Hydroponics",Walmart::Patio & Garden > Garden Center > Hydroponics,0.9163204740602771,SIMILAR_TO
Wayfair::Holiday > Father's Day,Walmart::Party & Occasions > Father's Day Party Supplies > Father's Day Gift Wrap,0.7828433902376439,SIMILAR_TO
Wayfair::Outdoor > Outdoor Shades > Carports,Walmart::Patio & Garden > Sheds & Outdoor Storage > Carports,0.949383542922398,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Gardening & Lawn Care > Greenhouses & Accessories",Walmart::Patio & Garden > Garden Center > Greenhouses,0.8548621202789419,SIMILAR_TO
WestElm::Bath > Bathroom Renovation > Cabinet Knobs & Pulls,Wayfair::Home Improvement > Bathroom Remodel & Bathroom Fixtures > Bathroom Cabinets & Shelving,0.6492024426326368,SIMILAR_TO
WestElm::Bath > Bathroom Renovation > Cabinet Knobs & Pulls,Walmart::Home > Bath > Bathroom Furniture > Bathroom Cabinets,0.6616863870638852,SIMILAR_TO
Wayfair::Outdoor > Outdoor Shades > Shutters,Walmart::Home Improvement > Windows & Window Supplies > Window Hardware > Shutters,0.8931052814827749,SIMILAR_TO
Amazon::Sports & Outdoors > Sports & Fitness > Swimming,Walmart::Sports & Outdoors > Sports > Swimming,0.9361444067183712,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Farm & Ranch > Plant Germination Equipment",Wayfair::Outdoor > Garden > Plant Stands & Accessories,0.6328260057185023,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Farm & Ranch > Plant Germination Equipment",Walmart::Patio & Garden > Garden Center > Plant Care,0.6435152110489073,SIMILAR_TO
Wayfair::Holiday > St. Patrick's Day,Walmart::Home > Holiday Decor > St. Patrick's Day Crafts & Decor,0.8239393800632999,SIMILAR_TO
Walmart::Patio & Garden > Outdoor Shade > Beach Umbrellas,WestElm::Outdoor > Outdoor Umbrellas > Umbrellas,0.8478683870170735,SIMILAR_TO
Walmart::Patio & Garden > Outdoor Shade > Beach Umbrellas,"Amazon::Patio, Lawn & Garden > Patio Furniture & Accessories > Umbrellas & Shade",0.7418433400675373,SIMILAR_TO
Amazon::Home & Kitchen > Home Décor > Tapestries,Walmart::Home > Decor > Wall Decor > Tapestries,0.9137563129163734,SIMILAR_TO
Wayfair::Furniture > Bedroom Furniture > Daybeds,Walmart::Patio & Garden > Patio Furniture > Outdoor Lounge Furniture > Outdoor Daybeds,0.8289535833279758,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Grills & Outdoor Cooking > Grills & Smokers",OfficeDepot::Breakroom > Appliances > Kitchen > Grills,0.752916438956571,SIMILAR_TO
"Amazon::Patio, Lawn & Garden > Grills & Outdoor Cooking > Grills & Smokers",Wayfair::Outdoor > Grills & Outdoor Cooking > Grills & Accessories,0.7463711081101917,SIMILAR_TO
