unit_id,gap_type,name,example_paths,home_L1,home_path,nearest_staples_shelf,nearest_staples_score,k,carriers,members_n,member_competitors,contradicting_peers,soft_gap_share,PC,GS,AAS,CRS,AAS_V,AAS_G,CRS_V,CRS_G,competitor_shelves,competitor_items_counted,staples_shelves,crs_driver,centroid_uid,labelled_members,competitor_view,staples_items,median_depth_gap,staples_depth,label,label_V,label_G,zone_before_verify,O,evidence,action,theme,p_approved,p_top_n,verify_outcome,rank_in_zone,aisle,competitor_dept,family,display
E0141,ENTER,Personal Safety,Walmart: Home Improvement > Home Safety > Personal Safety,Safety Supplies,Safety Supplies > Safety Storage,Safety Supplies > Safety Storage,0.8387637695902919,3,"Amazon, OfficeDepot, Walmart",1,1,2,0.0,0.6,0.8384748499065767,100.0,64.11552975326559,100.0,100.0,69.71823899371068,58.5128205128205,1.0,0.0,0,Facilities > Facilities Signs > Safety Signs,Walmart::Home Improvement > Home Safety > Personal Safety,1,,,,,1P-CORE GAP,1P-CORE GAP,REVIEW,1P-CORE GAP,0.2883195885727223,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Health, safety & facilities",0.0,0.0,,1,Safety Supplies > Safety Storage,Home Improvement,Safety Supplies > Safety Storage,Personal Safety
E0344,ENTER,Patio Heater Replacement Parts,"Amazon: Patio, Lawn & Garden > Outdoor Heating & Cooling > Patio Heater Replacement Parts",Facilities,Facilities > Heating & Cooling,Facilities > Heating & Cooling > Heaters,0.8326795425869238,4,"Amazon, OfficeDepot, Walmart, Wayfair",1,1,3,0.0,0.8,0.8027763270789109,94.41265976871577,68.78835746404536,88.82531953743154,100.0,60.49492073284004,77.08179419525067,1.0,0.0,0,Facilities > Heating & Cooling > Heaters,"Amazon::Patio, Lawn & Garden > Outdoor Heating & Cooling > Patio Heater Replacement Parts",1,,,,,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,0.26349171187766635,A,Fix in 1P merchandising - a marketplace here would cannibalise core,Outdoor living & grounds,0.0,0.0,,2,Facilities > Heating & Cooling,"Patio, Lawn & Garden",Facilities > Heating & Cooling,Patio Heater Replacement Parts
D0042,DEEPEN,Shelving,Furniture > Storage Furniture > Shelving,Furniture,Furniture > Storage Furniture,Furniture > Storage Furniture > Shelving,1.0,2,"Walmart, Wayfair",4,2,0,0.0,0.4,0.9524969628241382,89.4623639467232,65.87284690336624,,,,,,,1,Furniture > Storage Furniture > Shelving,Staples::Furniture > Storage Furniture > Shelving,0,"Storage Racks & Shelving Units, Bathroom Cabinets & Shelving, Shelving Storage",200.0,0.27308773146364895,3.0,1P-CORE GAP,,,1P-CORE GAP,0.2531419219195082,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,3,Furniture > Storage Furniture,,Furniture > Storage Furniture,Shelving
E0134,ENTER,Privacy Screens,Wayfair: Outdoor > Outdoor Fencing & Flooring > Privacy Screens,Furniture,Furniture > Cubicle & Panel Systems,Furniture > Cubicle & Panel Systems > Privacy Booths,0.7689068316128105,4,"Amazon, OfficeDepot, Walmart, Wayfair",1,1,3,0.0,0.8,0.7969404837054169,93.43800143861009,70.66163522012579,95.05782105903836,91.8181818181818,70.6817610062893,70.64150943396227,1.0,0.0,0,Computers & Accessories > Computer Accessories & Peripherals > Computer Privacy Screens & Protectors,Wayfair::Outdoor > Outdoor Fencing & Flooring > Privacy Screens,1,,,,,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,1P-CORE GAP,0.24622022366469468,A,Fix in 1P merchandising - a marketplace here would cannibalise core,"Celebrations, gifting & creativity",0.0,0.0,,4,Gift Shop > Professional Gifts,Outdoor,Gift Shop > Professional Gifts,Privacy Screens
E0271,ENTER,Wall Ovens,"Amazon: Appliances > Ranges, Ovens & Cooktops > Wall Ovens",Appliances & Kitchenware,Appliances & Kitchenware > Major Appliances,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",0.8369041941904902,3,"Amazon, Walmart, Wayfair",1,1,2,0.0,0.6,0.7588567617007344,55.710322704857965,62.00228358574633,62.373706634205725,49.046938775510206,70.27924528301887,53.7253218884738,1.0,0.0,0,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens","Amazon::Appliances > Ranges, Ovens & Cooktops > Wall Ovens",1,,,,,1P-CORE GAP,1P-CORE GAP,REVIEW,1P-CORE GAP,0.24422303988000701,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,5,"Coffee, Water & Snacks > Breakroom Appliances",Appliances,"Coffee, Water & Snacks > Breakroom Appliances",Wall Ovens
D0029,DEEPEN,Office Partitions & Dividers,Furniture > Cubicle & Panel Systems > Office Partitions & Dividers,Furniture,Furniture > Cubicle & Panel Systems,Furniture > Cubicle & Panel Systems > Office Partitions & Dividers,1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.8046185643834043,84.25851416647001,63.78843809844476,,,,,,,1,Furniture > Cubicle & Panel Systems > Office Partitions & Dividers,Staples::Furniture > Cubicle & Panel Systems > Office Partitions & Dividers,0,"Portable Partitions, Dividers, Office Partitions",152.0,0.7906579718136546,3.0,1P-CORE GAP,,,1P-CORE GAP,0.24420789103592885,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,6,Furniture > Cubicle & Panel Systems,,Furniture > Cubicle & Panel Systems,Office Partitions & Dividers
E0358,ENTER,Electronic Organizers,Amazon: Office Products > Office Electronics > Electronic Organizers,Office Supplies,Office Supplies > Desk Organizers & Accessories,Office Supplies > Desk Organizers & Accessories,0.7946162169209913,2,"Amazon, Walmart",1,1,0,0.0,0.4,0.8441170255993499,95.53325549331115,66.22001208699159,96.3481436396835,94.71836734693878,59.50972458303446,72.9302995909487,1.0,0.0,0,Office Supplies > Desk Organizers & Accessories,Amazon::Office Products > Office Electronics > Electronic Organizers,1,,,,,1P-CORE GAP,REVIEW,1P-CORE GAP,1P-CORE GAP,0.2439052697805309,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Core office & business supplies,0.0,0.0,,7,Office Supplies > Desk Organizers & Accessories,Office Products,Office Supplies > Desk Organizers & Accessories,Electronic Organizers
D0025,DEEPEN,Breakroom & Dining Chairs,Furniture > Chairs & Seating > Breakroom & Dining Chairs,Furniture,Furniture > Chairs & Seating,Furniture > Chairs & Seating > Breakroom & Dining Chairs,1.0,2,"Wayfair, WestElm",3,2,0,0.0,0.4,0.6291124208304011,92.6496733203324,62.45508630777158,,,,,,,1,Furniture > Chairs & Seating > Breakroom & Dining Chairs,Staples::Furniture > Chairs & Seating > Breakroom & Dining Chairs,0,"Custom Dining Chairs, Patio Dining Chairs, Kitchen & Dining Chairs",75.0,0.9729795286076093,3.0,1P-CORE GAP,,,1P-CORE GAP,0.23958849922162295,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,8,Furniture > Chairs & Seating,,Furniture > Chairs & Seating,Breakroom & Dining Chairs
D0009,DEEPEN,Toaster Ovens,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens","Coffee, Water & Snacks","Coffee, Water & Snacks > Breakroom Appliances","Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.5484232849766413,80.88483837844328,60.344718008941086,,,,,,,1,"Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens","Staples::Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",0,"Toasters & Countertop Ovens, Toasters & Toaster Ovens, Wall Ovens",41.0,0.9729795286076093,3.0,1P-CORE GAP,,,1P-CORE GAP,0.22786030708517474,B,Fix in 1P merchandising - a marketplace here would cannibalise core,"Breakroom, kitchen & hospitality",0.0,0.0,,9,"Coffee, Water & Snacks > Breakroom Appliances",,"Coffee, Water & Snacks > Breakroom Appliances",Toaster Ovens
D0024,DEEPEN,Chair Mats,Furniture > Chair Mats,Furniture,Furniture > Chair Mats,Furniture > Chair Mats,1.0,2,"OfficeDepot, Wayfair",3,2,0,0.0,0.4,0.6504833107941972,87.51045836174087,65.42310169639391,,,,,,,1,Furniture > Chair Mats,Staples::Furniture > Chair Mats,0,"Chair Mats, Kitchen Mats",308.0,0.7906579718136546,2.0,1P-CORE GAP,,,1P-CORE GAP,0.2179037977026584,B,Fix in 1P merchandising - a marketplace here would cannibalise core,Home décor & furnishings,0.0,0.0,,10,Furniture > Chair Mats,,Furniture > Chair Mats,Chair Mats
