competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Walmart,Party & Occasions > Gender Reveal Party Supplies > Gender Reveal Tableware,1,Party Supplies > Disposable Plates|Party Supplies,stratified sample,Claude labelling agent (review with team),themed party tableware; product-type match
Walmart,Sports & Outdoors > Sports > Softball Gear & Equipment > Softball Bats,1,School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods,stratified sample,Claude labelling agent (review with team),judgement: PE sporting goods covers bats/balls
Walmart,Health and Medicine > Vitamins and Supplements > Emergen C > Emergen C Energy Hydration,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Ear Care > Earache,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops,stratified sample,Claude labelling agent (review with team),
Walmart,Arts Crafts & Sewing > Elmer's > Elmer's Slime Kits,1,Arts & Crafts > Crafting > Craft Kits,stratified sample,Claude labelling agent (review with team),
Walmart,Health and Medicine > Weight Loss > Raspberry Ketones,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,stratified sample,Claude labelling agent (review with team),judgement: weight-loss capsules treated as dietary supplements
Walmart,Sports & Outdoors > Recreation > Trampolines > Round Trampolines,0,,stratified sample,Claude labelling agent (review with team),judgement: backyard trampolines; no Staples shelf (playground eqpt is school/commercial)
Walmart,Arts Crafts & Sewing > Crafting > Printmaking > Etching Intaglio,0,,stratified sample,Claude labelling agent (review with team),printmaking (etching); no Staples shelf
Walmart,Party & Occasions > Premium Party Shop > Premium Party Supplies By Brand > Ginger Ray,1,Party Supplies > Party Décor|Party Supplies,stratified sample,Claude labelling agent (review with team),party brand page -> party decor
Walmart,Industrial & Scientific > Professional Safety Shop > Featured Brands > 3M,1,Safety Supplies > Personal Protective Equipment (PPE),stratified sample,Claude labelling agent (review with team),brand page -> 3M PPE
Walmart,Personal Care > Bath & Body > Dove x Crumbl,1,Healthcare Supplies > Personal Care > Skin Care > Bath Soap & Body Wash,stratified sample,Claude labelling agent (review with team),
