competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
Walmart,Party & Occasions > Gender Reveal Party Supplies > Gender Reveal Tableware,Party & Occasions > Gender Reveal Party Supplies > Gender Reveal Tableware,True,stratified sample,"Party Supplies > Party Favors & Costumes || Retail Store Supplies > Store Fixtures & Retail Displays > Dress Forms || Party Supplies > Party Favors & Costumes > Party Favors || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Party Supplies > Party Favors & Costumes > Favor Bags & Boxes || Party Supplies > Party Favors & Costumes > Costumes & Accessories || Office Supplies > Writing Supplies & Instruments > Correction & White Out || Furniture > Decor > Wall Art > People & Fashion Art || Gift Shop > Home, Personal & Travel > Jewelry Boxes & Cases || Gift Shop > Home, Personal & Travel > Unique Gifts || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware || Appliances & Kitchenware > Kitchenware > Dining & Tableware",,,
Walmart,Sports & Outdoors > Sports > Softball Gear & Equipment > Softball Bats,Sports & Outdoors > Sports > Softball Gear & Equipment > Softball Bats,True,stratified sample,School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Gift Shop > Game Room & Toys > Game Room > Sports Memorabilia & Collectibles || Gift Shop > Game Room & Toys > Game Room > Sports Displays & Collectibles || Gift Shop > Game Room & Toys > Game Room > Darts & Dart Boards || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || School Supplies > College Supplies > School Masks || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hats & Safety Helmets || School Supplies > Teacher Supplies > Physical Education & Recreation > Sporting Goods || Gift Shop > Game Room & Toys > Game Room > Tailgating Supplies || School Supplies > College Supplies || Retail Store Supplies > Point of Sale (POS) Equipment > POS Software || Computer Software > Tax Software,,,
Walmart,Health and Medicine > Vitamins and Supplements > Emergen C > Emergen C Energy Hydration,Health and Medicine > Vitamins and Supplements > Emergen C > Emergen C Energy Hydration,True,stratified sample,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Probiotics || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Food & Beverage Thickeners || Coffee, Water & Snacks > Water & Beverages > Juice || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients || Coffee, Water & Snacks > Water & Beverages > Energy & Sports Drinks || Healthcare Supplies > First Aid > Emergency Preparedness",,,
Walmart,Health and Medicine > Ear Care > Earache,Health and Medicine > Ear Care > Earache,True,stratified sample,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Ear Drops & Eye Drops || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Antibiotic Ointments || Healthcare Supplies > Wound Care > Antiseptics & Antibiotics || Healthcare Supplies > Wound Care > Antiseptics & Antibiotics > Anti-Itch || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pain Relievers || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Respiratory Therapy > Tracheostomy Care || Safety Supplies > Personal Protective Equipment (PPE) > Ear Protection",,,
Walmart,Arts Crafts & Sewing > Elmer's > Elmer's Slime Kits,Arts Crafts & Sewing > Elmer's > Elmer's Slime Kits,True,stratified sample,"Office Supplies > Tape, Fasteners & Adhesives > Glue & Glue Sticks || Arts & Crafts > Crafting > Craft Kits || Office Supplies > Tape, Fasteners & Adhesives > Hot Glue Sticks & Guns || Arts & Crafts > Crayons || Tools, Parts & Supplies > Chemicals, Lubricants & Paints > Oilers & Sprayers || Arts & Crafts > Paint || Arts & Crafts > Chalk || Facilities > Paint Supplies > Paint Accessories > Paint Buckets || Facilities > Paint Supplies > Paint Accessories > Paint Sprayers || Facilities > Adhesives, Sealants and Patching > Adhesives > Sealants & Caulking || Healthcare Supplies > Personal Care > Baby Care > Baby Kits || Retail Store Supplies > Spa & Salon > Nails > Nail Kits",,,
Walmart,Health and Medicine > Weight Loss > Raspberry Ketones,Health and Medicine > Weight Loss > Raspberry Ketones,True,stratified sample,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements || Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries > Sugar & Sweeteners || Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Coffee, Water & Snacks > Water & Beverages > Juice || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > Personal Care > Skin Care > Body Powder || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Health & Body Weight Scales || Healthcare Supplies > Patient Care > Feeding Tubes & Nutrients > Eating & Drinking Aids || Tools, Parts & Supplies > Chalk Reels & Marking Tools > Soapstones & Holders || Phones, Cameras & Electronics > Cell Phones",,,
Walmart,Sports & Outdoors > Recreation > Trampolines > Round Trampolines,Sports & Outdoors > Recreation > Trampolines > Round Trampolines,True,stratified sample,"Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || School Supplies > Teacher Supplies > Physical Education & Recreation > Riding Toys & Wagons || Furniture > Decor > Seasonal Decor > Inflatables || Gift Shop > Game Room & Toys > Game Room > Darts & Dart Boards || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || School Supplies > Teacher Supplies > Physical Education & Recreation > Bicycles, Tricycles & Accessories || Expanded Assortment > Outdoors & Recreation || Furniture > Daycare & Nursery > Play & Rest Mats || Healthcare Supplies > Wound Care || Facilities > Grounds Maintenance",,,
Walmart,Arts Crafts & Sewing > Crafting > Printmaking > Etching Intaglio,Arts Crafts & Sewing > Crafting > Printmaking > Etching Intaglio,True,stratified sample,"Arts & Crafts > Pastels || Arts & Crafts > Art & Drawing Pens || Arts & Crafts > Canvas & Art Boards || Arts & Crafts > Drawing & Colored Pencils || Arts & Crafts > Art Brushes || Tools, Parts & Supplies > Chalk Reels & Marking Tools > Stencil Sets || Arts & Crafts > Painting Accessories || Arts & Crafts > Art Paper & Rolls || Arts & Crafts > Scrapbooking > Stamps & Stencils || Arts & Crafts > Chalk || Furniture > Decor > Wall Art > Vintage Art || Facilities > Adhesives, Sealants and Patching",,,
Walmart,Party & Occasions > Premium Party Shop > Premium Party Supplies By Brand > Ginger Ray,Party & Occasions > Premium Party > Premium Party Supplies By Brand > Ginger Ray,True,stratified sample,"Coffee, Water & Snacks > Single Serve Coffee, Tea & Cocoa || Coffee, Water & Snacks > Water & Beverages > Juice || Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers || Healthcare Supplies > Personal Care > Skin Care > Eye Cream || Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Tea || Retail Store Supplies > Backroom Retail Supplies > Dressing Room Supplies & Try-On Accessories || Coffee, Water & Snacks > Water & Beverages > Liquid & Powdered Drink Mixes || Coffee, Water & Snacks > Candy, Gum & Mints > Chocolate || Coffee, Water & Snacks > Paper Products || Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries || TV & Streaming Media > TV & Video > DVD & Blu-Ray Players || Paper > Envelopes > Finger Pads & Moisteners",,,
Walmart,Industrial & Scientific > Professional Safety Shop > Featured Brands > 3M,Industrial & Scientific > Safety > Featured Brands > 3M,True,stratified sample,"Safety Supplies > Fall Protection Kits, Parts & Accessories || Safety Supplies > Safety Vests & High Visibility Clothing || Tools, Parts & Supplies > Automotive > Jack & Jack Stands || Safety Supplies > Test Instruments, Meters & Precision Tools || Safety Supplies > Personal Protective Equipment (PPE) > Eye Protection > Safety Glasses, Goggles & Accessories || Safety Supplies > Crowd Control Accessories || Safety Supplies || Safety Supplies > Fire Protection || Safety Supplies > Safety Storage || Safety Supplies > Personal Protective Equipment (PPE) > Head & Face Protection > Hard Hat & Safety Helmet Accessories || Appliances & Kitchenware || Appliances & Kitchenware > Kitchenware",,,
