competitor,comp_path,context_path,is_leaf,source,candidates,staples_carries,gold_staples_path,note
Wayfair,Outdoor > Outdoor Shades > Carports,Outdoor > Outdoor Shades > Carports,True,stratified sample,"Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Decor > Curtains, Blinds & Shades || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Furniture > Lamps & Lighting > Outdoor Lighting || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Furniture > Decor > Shower Curtains & Accessories || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Clothes Racks & Portable Closets || Retail Store Supplies > Store Fixtures & Retail Displays > Slat-Grid Panels & Accessories || Furniture > Decor > Wall Art > Sports Art || Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care",,,
Wayfair,Outdoor > Umbrellas > Market Umbrellas,Outdoor > Umbrellas > Market Umbrellas,True,stratified sample,Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Facilities > Flashlights & Lanterns || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Retail Store Supplies > Retail Signage > Indoor & Outdoor Retail Signage || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Retail Store Supplies > Backroom Retail Supplies > Clothing Hangers & Accessories || Gift Shop > Table Tents || Office Supplies > Writing Supplies & Instruments > Markers || Office Supplies > Custom Marketing Materials,,,
Wayfair,Home Improvement > Outdoor Remodel > Fencing Accessories,Home Improvement > Outdoor Remodel > Fencing Accessories,True,stratified sample,Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Facilities > Grounds Maintenance > Outdoor Tools || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Facilities > Paint Supplies > Wood Care & Maintenance || Facilities > Plumbing > Drinking Fountain Repair & Accessories || Retail Store Supplies > Store Fixtures & Retail Displays > Slatwall Panels & Accessories || Furniture > Lamps & Lighting > Outdoor Lighting || Facilities > Plumbing > Bathroom Hardware > Bathroom Safety Hardware || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Facilities > Plumbing > Bathroom Hardware || TV & Streaming Media > TV & Video > TV Accessories || Gift Shop > Professional Gifts > Bar Accessories,,,
Wayfair,Smallwares > Serveware > Tureens,Smallwares > Serveware > Tureens,True,stratified sample,"Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers || Coffee, Water & Snacks > Coffee, Coffee Makers & Supplies > Carafes, Kettles & Decanters || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery || Restaurant & Foodservice Supplies > Tabletop > Flatware || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Skillets & Braising Pans || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware || Restaurant & Foodservice Supplies > Tabletop > Dinnerware || Restaurant & Foodservice Supplies > Tabletop > Placemats & Tablecloths || Cleaning Supplies > Cleaning Chemicals & Wipes > Urinal Screens || Shredders, Projectors & Office Machines > Projectors & Accessories > Projector Screens",,,
Wayfair,Outdoor > Backyard Play > Basketball Hoops,Outdoor > Backyard Play > Basketball Hoops,True,stratified sample,"School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Gift Shop > Game Room & Toys > Game Room > Tailgating Supplies || School Supplies > Learning at Home > Pretend Play || Gift Shop > Game Room & Toys > Game Room > Game Room & Games || Gift Shop > Game Room & Toys > Game Room > Sports Displays & Collectibles || Gift Shop > Game Room & Toys > Game Room || Furniture > Daycare & Nursery > Play & Rest Mats || Gift Shop > Game Room & Toys > Game Room > Darts & Dart Boards || Gift Shop > Game Room & Toys > Game Room > Sports Memorabilia & Collectibles || Office Supplies > Storage & Organization > Storage Baskets || Laboratory & Scientific Supplies > Labware & Consumables > Racks, Baskets & Boxes",,,
Wayfair,Outdoor > Fitness > Dumbbells,Outdoor > Fitness > Dumbbells,True,stratified sample,"Fitness > Fitness Equipment || Fitness || Fitness > Fitness Equipment > Fitness Machines || Fitness > Fitness Equipment > Fitness Machines > Fitness Machines || Expanded Assortment > Fitness || Wearable Technology > Pedometers & Fitness Trackers || Facilities > Ladders & Step Stools || Facilities > Grounds Maintenance > Outdoor Tools > Pressure Washers & Accessories || Healthcare Supplies > Durable Medical Equipment > Orthopedics > Leg Walkers & Boots || Retail Store Supplies > Spa & Salon > Spa & Massage > Massage Stools || Security, Banking & Cash > Call Bells || Smart Home & Security > Smart Doorbells",,,
Wayfair,Shop Contractor Spaces > Bedroom,Contractor Spaces > Bedroom,False,stratified sample,Furniture > Decor > Home & Office Decor > Living Room Accents || Facilities > Plumbing > Bathroom Hardware || Facilities > Bathroom Fixtures || Furniture > Decor > Home & Office Decor > Home & Office Bars || Furniture > Home & Office Tables || Facilities > Plumbing > Bathroom Hardware > Bathroom Safety Hardware || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Furniture > Decor > Home & Office Decor || Facilities > Floor Mats & Flooring || Furniture > Home & Office Tables > Training Room Tables || Gift Shop > Game Room & Toys > Game Room || Gift Shop > Game Room & Toys,,,
Wayfair,Outdoor > Outdoor Fencing & Flooring > Turf,Outdoor > Outdoor Fencing & Flooring > Turf,True,stratified sample,"Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Facilities > Grounds Maintenance > Watering Equipment > Lawn Sprinklers || Facilities > Grounds Maintenance > Outdoor Tools || Facilities > Grounds Maintenance > Watering Equipment || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Facilities > Floor Mats & Flooring > Commercial Floor Mats || Facilities > Floor Mats & Flooring || Furniture > Decor > Wall Art > Garden Landscape || Facilities > Grounds Maintenance > Outdoor Tools > Rakes & Leaf Blowers || Facilities > Adhesives, Sealants and Patching > Concrete & Asphalt Maintenance || TV & Streaming Media > DJ Equipment & Musical Instruments > Turn Tables & DJ Equipment || Facilities > Paint Supplies > Surface Protection",,,
Wayfair,Commercial Office Furniture > Office Cubicles & Partitions > Sneeze Guards,Commercial Office Furniture > Office Cubicles & Partitions > Sneeze Guards,True,stratified sample,Furniture > Cubicle & Panel Systems > Office Partitions & Dividers || Cleaning Supplies > Cleaning Chemicals & Wipes > Urinal Screens || Furniture > Standing Desk Mats || Furniture > Cubicle & Panel Systems || Furniture > Cubicle & Panel Systems > Cubicle Accessories & Hardware || Furniture > Desks > Sit & Stand Desks || Furniture > Cubicle & Panel Systems > Privacy Booths || Cleaning Supplies > Cleaning Chemicals & Wipes > Hard Floor Care || Furniture > Cubicle & Panel Systems > Cubicle & Panel Workstations || Facilities > Bathroom Fixtures > Toilet Seat Cover Dispensers || Appliances & Kitchenware > Major Appliances > Freezers || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Tweezers,,,
Wayfair,Shop Contractor Spaces > Hallway & Mudroom,Contractor Spaces > Hallway & Mudroom,False,stratified sample,Furniture > Storage Furniture > Clothing Racks & Closet Organization > Closet Systems || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Closet Storage & Organizers || Furniture > Cubicle & Panel Systems || Furniture > Cubicle & Panel Systems > Office Partitions & Dividers || Facilities > Plumbing > Bathroom Hardware || Cleaning Supplies > Laundry Care > Laundry Room Organization || Facilities > Floor Mats & Flooring || Facilities > Hardware > Ceiling > Ceiling Tiles || Furniture > Storage Furniture > Lockers || Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories || Restaurant & Foodservice Supplies > Smallwares || Gift Shop > Game Room & Toys > Game Room,,,
Wayfair,Furniture > Bedroom Furniture > Daybeds,Furniture > Bedroom Furniture > Daybeds,True,stratified sample,"Furniture > Decor > Beds & Bedding > Headboards || Furniture > Chairs & Seating > Sofas & Benches > Sofas, Loveseats & Sectionals || Furniture > Decor > Beds & Bedding || Furniture > Decor || Furniture || Furniture > Chairs & Seating > Sofas & Benches || Furniture > Bookcases & Bookshelves || Furniture > Chairs & Seating > Stools & Ottomans || Furniture > Storage Furniture || Furniture > Decor > Beds & Bedding > Beds & Mattresses || Healthcare Supplies > Patient Care > Beds & Bedside Care > Medical Beds || Healthcare Supplies > Patient Care > Beds & Bedside Care",,,
Wayfair,Furniture > Entry & Mudroom Furniture > Storage Benches > Small Bedroom Vanities,Furniture > Entry & Mudroom Furniture > Storage Benches > Small Bedroom Vanities,True,stratified sample,Furniture > Storage Furniture > Storage Cabinets || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Clothes Racks & Portable Closets || Furniture > Storage Furniture || Furniture > Storage Furniture > Clothing Racks & Closet Organization || Furniture > Storage Furniture > Shelving || Furniture > Home & Office Tables || Furniture > Decor > Bath & Shower Accessories || Furniture > Bookcases & Bookshelves || Furniture > Standing Desk Mats || Appliances & Kitchenware > Small Appliances || Restaurant & Foodservice Supplies > Smallwares,,,
Wayfair,Outdoor > Fitness > Home Gyms,Outdoor > Fitness > Home Gyms,True,stratified sample,Fitness > Fitness Equipment || Fitness || Fitness > Fitness Equipment > Fitness Machines > Fitness Machines || Fitness > Fitness Equipment > Fitness Machines || Expanded Assortment > Fitness || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Furniture > Decor > Home & Office Decor > Home & Office Bars || Facilities > Grounds Maintenance > Outdoor Tools || Furniture > Home & Office Tables > Training Room Tables || Furniture > Decor > Home & Office Decor > Home Accents || Furniture > Decor > Home & Office Decor,,,
Wayfair,Holiday > Valentine's Day > Valentine's Day Tableware & Linens,Holiday > Valentine's Day > Valentine's Day Tableware & Linens,True,stratified sample,Gift Shop > Holiday Cards || Party Supplies > Wedding Supplies > Wedding Glassware || Furniture > Decor > Seasonal Decor > Holiday Lighting || Gift Shop > Wedding Invitations & Kits || Party Supplies > Wedding Supplies > Wedding Decorations & Supplies || Gift Shop > Invitations || Furniture > Decor > Seasonal Decor > Ornaments & Tree Decor || Party Supplies > Wedding Supplies > Wedding Favors || Gift Shop > Gourmet Gifts || Gift Shop > Stationery || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware || Retail Store Supplies > Spa & Salon > Spa & Massage > Sheets & Linens,,,
Wayfair,School Spaces > Outdoor Playground & Recreation > Climbing Toys & Slides,School Spaces > Outdoor Playground & Recreation > Climbing Toys & Slides,True,stratified sample,"School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || School Supplies > Teacher Supplies > Physical Education & Recreation > Riding Toys & Wagons || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || Expanded Assortment > Outdoors & Recreation || Furniture > Home & Office Tables > Classroom & Kids' Tables || Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || School Supplies > Teacher Supplies > Physical Education & Recreation > Bicycles, Tricycles & Accessories || School Supplies > Teacher Supplies > Games, Puzzles & Toys || School Supplies > Learning at Home > Educational & STEM Toys || Facilities > Grounds Maintenance > Outdoor Tools || Gift Shop > Game Room & Toys || School Supplies > Learning at Home > Learning & Development Toys",,,
Wayfair,Outdoor > Outdoor Heating > Fire Pits,Outdoor > Outdoor Heating > Fire Pits,True,stratified sample,"Safety Supplies > Fire Protection > Fire Extinguishers || Gift Shop > Professional Gifts > Compasses > Outdoor Heaters || Facilities > Heating & Cooling > Heaters || Facilities > Grounds Maintenance > Outdoor Tools || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Tools, Parts & Supplies > Power Tools > Heat Guns & Torches || Safety Supplies > Fire Protection > Smoke Alarms & Carbon Monoxide Detectors || Facilities > Grounds Maintenance > Watering Equipment > Water Hoses & Accessories || Facilities > Plumbing > Tubs and Showers > Wall Mounted Shower Heads || Facilities > Heating & Cooling > Bathroom Fans || Safety Supplies > Fire Protection || Healthcare Supplies > First Aid > First Aid Kits",,,
Wayfair,Baby & Kids > Toddler & Kids Bedroom Furniture > Baby & Kids Dressers,Baby & Kids > Toddler & Kids Bedroom Furniture > Baby & Kids Dressers,True,stratified sample,Furniture > Daycare & Nursery || Healthcare Supplies > Personal Care > Baby Care > Baby Diapers || Furniture > Daycare & Nursery > Nursery Furniture || Healthcare Supplies > Personal Care > Baby Care > Baby Kits || Furniture > Daycare & Nursery > Play & Rest Mats || Furniture > Daycare & Nursery > Daycare & Nursery Supplies || Furniture > Home & Office Tables > Classroom & Kids' Tables || Healthcare Supplies > Personal Care > Baby Care > Baby Wipes || School Supplies > Preschool Supplies > Pretend Play & Dress Up || Furniture > School Furniture || Healthcare Supplies > Personal Care > Baby Care || Healthcare Supplies > Personal Care > Baby Care > Baby Skin Care,,,
Wayfair,Outdoor > Backyard Play > Trampoline Accessories,Outdoor > Backyard Play > Trampoline Accessories,True,stratified sample,Gift Shop > Game Room & Toys > Game Room > Pool Tables & Accessories || Furniture > Daycare & Nursery > Play & Rest Mats || School Supplies > Teacher Supplies > Physical Education & Recreation > Outdoor Games || School Supplies > Teacher Supplies > Physical Education & Recreation > Playground Equipment || Gift Shop > Professional Gifts > Compasses > Outdoor Furniture Covers || Facilities > Grounds Maintenance > Outdoor Tools > Lawn & Garden Tools || Furniture > Decor > Home & Office Decor > Indoor Fireplaces || Gift Shop > Professional Gifts > Compasses > Patio Furniture || Healthcare Supplies > Durable Medical Equipment > Shower & Bath Aids > Shower Chairs / Benches || Gift Shop > Professional Gifts > Compasses > Outdoor Decor || TV & Streaming Media > TV & Video > TV Accessories || Gift Shop > Professional Gifts > Wine Accessories,,,
Wayfair,Baby & Kids > Teen Decor & Lighting > Teen Tapestries and Wall Hangings,Baby & Kids > Teen Decor & Lighting > Teen Tapestries and Wall Hangings,True,stratified sample,"Furniture > Decor > Wall Art || Furniture > Decor > Wall Art > Wall Art/Decor || Furniture > Decor > Wall Art > Kids & Whimsical Art || Furniture > Decor > Shower Curtains & Accessories || Furniture > Decor > Seasonal Decor > Window & Wall Decor & Signs || Furniture > Decor > Wall Art > African Art || Furniture > Decor > Wall Art > Floral Art || Furniture > Decor > Bath & Shower Accessories || Furniture > Decor > Wall Art > Wall Decals || Furniture > Decor > Wall Art > Vintage Art || Office Supplies > Tape, Fasteners & Adhesives > Mounting > Hooks & Hanging Strips || Office Supplies > Folders & Filing > Hanging File Folders",,,
Wayfair,Smallwares > Food Storage Supplies > Spice Jars & Spice Racks,Smallwares > Food Storage Supplies > Spice Jars & Spice Racks,True,stratified sample,"Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Kitchen Racks || Restaurant & Foodservice Supplies > Restaurant Storage & Transport > Food Storage & Containers || Restaurant & Foodservice Supplies > Disposable Food Packaging > Disposable Bags > Food Storage Bags || Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries > Condiments || Restaurant & Foodservice Supplies > Disposable Food Packaging > Single-Use Food Containers || Retail Store Supplies > Retail Packaging > Food Boxes & Bags || Restaurant & Foodservice Supplies > Disposable Food Packaging > Food Packaging Wrap > Butcher & Freezer Paper || Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills || Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders || Coffee, Water & Snacks > Snacks & Food > Fresh, Frozen & Dry Groceries || Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders || Furniture > Storage Furniture > Clothing Racks & Closet Organization > Shoe Racks",,,
