path_str,is_leaf
Appliances & Kitchenware,False
Appliances & Kitchenware > Kitchenware,False
Appliances & Kitchenware > Kitchenware > Dining & Tableware,False
"Appliances & Kitchenware > Kitchenware > Dining & Tableware > Carafes, Pitchers & Tumblers",True
Appliances & Kitchenware > Kitchenware > Dining & Tableware > Drinkware & Glassware,True
Appliances & Kitchenware > Kitchenware > Dining & Tableware > Flatware & Cutlery,True
Appliances & Kitchenware > Kitchenware > Dining & Tableware > Salt and Pepper Shakers & Mills,True
Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,True
Appliances & Kitchenware > Kitchenware > Kitchen Accessories,False
Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Aprons,True
Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Cookbooks & Recipe Holders,True
Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,True
Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Oven Mitts & Potholders,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools,False
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Bakeware,True
"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cake, Cookie & Pastry Decorations",True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cooking Utensils,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Cutting Boards,True
"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Food Mills, Shavers & Spice Grinders",True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Grilling Products,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Pizza Tools,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Kitchen Tools & Gadgets,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Meat Preparation Equipment,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Mixing Bowls,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Pots & Pans,True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Salad Spinners,True
"Appliances & Kitchenware > Kitchenware > Kitchen Tools > Sifters, Strainers & Colanders",True
Appliances & Kitchenware > Kitchenware > Kitchen Tools > Skillets & Braising Pans,True
Appliances & Kitchenware > Major Appliances,False
Appliances & Kitchenware > Major Appliances > Dishwashers,True
Appliances & Kitchenware > Major Appliances > Food Warmers,True
Appliances & Kitchenware > Major Appliances > Freezers,True
Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,True
Appliances & Kitchenware > Major Appliances > Range Hoods,True
Appliances & Kitchenware > Major Appliances > Refrigerators,True
Appliances & Kitchenware > Major Appliances > Washers & Dryers,True
Appliances & Kitchenware > Small Appliances,False
Appliances & Kitchenware > Small Appliances > Bread Machines,True
Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,True
Appliances & Kitchenware > Small Appliances > Deep Fryers,True
Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,True
Appliances & Kitchenware > Small Appliances > Fondue Sets,True
Appliances & Kitchenware > Small Appliances > Food Dehydrators,True
"Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",True
Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,True
Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,True
Appliances & Kitchenware > Small Appliances > Microwaves,True
Appliances & Kitchenware > Small Appliances > Pasta Makers,True
Appliances & Kitchenware > Small Appliances > Popcorn Machines,True
Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,True
Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,True
Arts & Crafts,False
Arts & Crafts > Art & Drawing Pens,True
Arts & Crafts > Art Brushes,True
Arts & Crafts > Art Paper & Rolls,True
Arts & Crafts > Canvas & Art Boards,True
Arts & Crafts > Chalk,True
