competitor,comp_path,staples_carries,gold_staples_path,source,labeller,note
Wayfair,Furniture > Bedroom Furniture > Armoires & Wardrobes,0,,verification loop,Claude labelling agent (review with team),no armoire/wardrobe shelf (prior standard)
Wayfair,Baby & Kids > Toddler & Kids Bedroom Furniture > Kids Armoires,0,,verification loop,Claude labelling agent (review with team),no kids armoire/wardrobe shelf
Walmart,Health and Medicine > Eye Care > Ocusoft,0,,verification loop,Claude labelling agent (review with team),"judgement: OcuSoft is mainly eyelid-scrub cleansers; Staples eye shelf is 4 drop SKUs, no lid hygiene"
Walmart,Health and Medicine > Eye Care > Ocuvite,1,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements,verification loop,Claude labelling agent (review with team),eye-health vitamin supplements
Wayfair,Baby & Kids > Teen Bedroom Furniture > Teen Nightstands,0,,verification loop,Claude labelling agent (review with team),nightstands not carried (standard)
Amazon,Home & Kitchen > Home Décor > Slipcovers,0,,verification loop,Claude labelling agent (review with team),no sofa/chair slipcover shelf (prior standard)
Wayfair,Furniture > Living Room Furniture > Slipcovers,0,,verification loop,Claude labelling agent (review with team),no sofa/chair slipcover shelf (prior standard)
Wayfair,Furniture > Bedroom Furniture > Makeup Vanities,0,,verification loop,Claude labelling agent (review with team),makeup vanities not carried (prior standard)
Amazon,Home & Kitchen > Home Décor > Vases,0,,verification loop,Claude labelling agent (review with team),vases not carried (standard)
Wayfair,Restaurant Storage > Cabinet & Pantry Organization > Pull Out Pantries,1,Appliances & Kitchenware > Kitchenware > Kitchen Accessories > Kitchen Storage & Organization,verification loop,Claude labelling agent (review with team),judgement: Glidez pull-out/slide-out cabinet organizers on kitchen storage shelf
Walmart,Home Improvement > Building Materials > Roofing,0,,verification loop,Claude labelling agent (review with team),no roofing materials
Walmart,Home Improvement > Weatherproofing > Roofing,0,,verification loop,Claude labelling agent (review with team),no roofing materials
Wayfair,Outdoor > Outdoor Fencing & Flooring > Fencing Accessories,0,,verification loop,Claude labelling agent (review with team),no fencing (prior standard)
Wayfair,Home Improvement > Outdoor Remodel > Fence Panels & Border Fencing,0,,verification loop,Claude labelling agent (review with team),no fence panels/fencing
WestElm,Furniture > Dining & Kitchen > Buffet Tables & Sideboards,0,,verification loop,Claude labelling agent (review with team),"judgement: no dining sideboard/buffet shelf; one stray sideboard in Accent Furniture, office credenzas differ"
Amazon,Home & Kitchen > Seasonal Décor > Wreath Hangers,0,,verification loop,Claude labelling agent (review with team),"judgement: only ~5 novelty Halloween wreath hangers, no hanger shelf"
Wayfair,Outdoor > Front Door Décor & Curb Appeal > Wreaths,1,Furniture > Decor > Artificial Plants & Flowers > Artificial Wreathes,verification loop,Claude labelling agent (review with team),wreaths shelf (76 items)
