competitor,comp_path,context_path,is_leaf,concept,source,candidates,staples_carries,gold_staples_path,note
Walmart,Health and Medicine > Digestive Health > Replenza,Health and Medicine > Digestive Health > Replenza,True,Replenza,verification loop,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Health & Body Weight Scales || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Physical Therapy and Rehabilitation Equipment || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Printers & Scanners > Printer Accessories & Replacement Parts || Printers & Scanners > Scanners & Scanner Accessories > Scanner Accessories & Replacement Parts,,,
Walmart,Health and Medicine > Allergy Medicine > Rhinocort,Health and Medicine > Allergy Medicine > Rhinocort,True,Rhinocort,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Medical Practice Furniture || Laboratory & Scientific Supplies > Labware & Consumables > Inoculating Loops & Needles || Gift Shop > Home, Personal & Travel > Binoculars, Cameras & Telescopes",,,
Walmart,Health and Medicine > Allergy Medicine > Xyzal,Health and Medicine > Allergy Medicine > Xyzal,True,Xyzal,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Medical Practice Furniture || Healthcare Supplies > Personal Dental Care || Healthcare Supplies > Personal Dental Care > Oral Care",,,
Walmart,Health and Medicine > Allergy Medicine > Mabis,Health and Medicine > Allergy Medicine > Mabis,True,Mabis,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Medical Practice Furniture || Safety Supplies > Safety Storage > Flammables Storage Cabinets || Laboratory & Scientific Supplies > Labware & Consumables",,,
Walmart,Health and Medicine > Allergy Medicine > AstePRO,Health and Medicine > Allergy Medicine > AstePRO,True,AstePRO,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Medical Practice Furniture || Facilities > Ladders & Step Stools || Retail Store Supplies > Sewing & Tailoring > Fasteners",,,
Walmart,Health and Medicine > Allergy Medicine > Alavert,Health and Medicine > Allergy Medicine > Alavert,True,Alavert,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Patient Care > Respiratory Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Topical Pain Relief || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > Professional Dental Supplies > Infection Prevention || Healthcare Supplies > OTC Pharmaceuticals > Hot & Cold Therapy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > Patient Care > Medical Practice Furniture || Expanded Assortment > Personal Care & Eyewear > Electric Shavers || Batteries & Power > Power Management > Power Inverters",,,
Walmart,Health and Medicine > Digestive Health > Lactaid,Health and Medicine > Digestive Health > Lactaid,True,Lactaid,verification loop,"Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Anti-Nausea & Digestive Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Probiotics || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Vitamins & Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Clinical Nutrition || Healthcare Supplies > Personal Care > Skin Care > Supplements || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Cough, Cold, Flu & Allergy || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Antacids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Sleep Aids || Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Laxatives || Healthcare Supplies > First Aid || Healthcare Supplies > First Aid > First Aid Kits",,,
Amazon,"Industrial & Scientific > Test, Measure & Inspect > Substance Analysis Instrumentation","Industrial & Scientific > Test, Measure & Inspect > Substance Analysis Instrumentation",True,Substance Analysis Instrumentation,verification loop,"Safety Supplies > Test Instruments, Meters & Precision Tools || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Water & Wastewater Testing || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Testing Kits || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Monitoring Equipment || Laboratory & Scientific Supplies > Lab Instruments & Equipment || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Time & Temperature Instruments || Healthcare Supplies > Patient Care > Diagnostic & Exam Instruments > Drug & Alcohol Test Kits || Laboratory & Scientific Supplies || Laboratory & Scientific Supplies > Lab Instruments & Equipment > Gas Handling & Extraction || Laboratory & Scientific Supplies > Lab Safety || Healthcare Supplies > Professional Dental Supplies > Dental Instruments || Furniture > Decor > Weather Instruments",,,
Amazon,"Industrial & Scientific > Hydraulics, Pneumatics & Plumbing > Seals & O-Rings","Industrial & Scientific > Hydraulics, Pneumatics & Plumbing > Seals & O-Rings",True,Seals & O-Rings,verification loop,"Laboratory & Scientific Supplies > Lab Instruments & Equipment > Tubing, Hose & Fittings || Tools, Parts & Supplies > Chemicals, Lubricants & Paints > Grease Guns & Fittings || Tools, Parts & Supplies > Keystocks, Shims & Valves || Tools, Parts & Supplies > Fittings || Facilities > Grounds Maintenance > Watering Equipment > Water Hoses & Accessories || Facilities > Grounds Maintenance > Outdoor Tools > Pressure Washers & Accessories || Shipping, Packing & Mailing Supplies > Shipping Supplies > Strapping & Strapping Equipment > Seals & Buckles || Facilities > Hand & Power Tools > Power Tools > Pneumatic Tools || Tools, Parts & Supplies > Hand Tools > Electrical Tools, Meters & Fish Tape || Tools, Parts & Supplies > Power Tools > Pressure Washer Accessories / Attachments || Shipping, Packing & Mailing Supplies > Shipping Supplies > Package Identification & Indicators > Shipping Tags & Seals || Wearable Technology > Smart Rings",,,
Amazon,"Industrial & Scientific > Adhesives, Sealants & Lubricants > Contact Cements","Industrial & Scientific > Adhesives, Sealants & Lubricants > Contact Cements",True,Contact Cements,verification loop,"Facilities > Adhesives, Sealants and Patching > Adhesives || Tools, Parts & Supplies > Industrial Adhesives, Sealants & Tapes || Facilities > Adhesives, Sealants and Patching > Adhesives > Commercial Adhesives || Facilities > Adhesives, Sealants and Patching || Facilities > Adhesives, Sealants and Patching > Adhesives > Sealants & Caulking || Tools, Parts & Supplies > Chemicals, Lubricants & Paints > Lubricants || Tools, Parts & Supplies > Chemicals, Lubricants & Paints || Tools, Parts & Supplies > Chemicals, Lubricants & Paints > Penetrants || Office Supplies > Tape, Fasteners & Adhesives || Tools, Parts & Supplies > Resin Bonded Abrasives || Healthcare Supplies > Personal Care > Skin Care > Supplements || Laboratory & Scientific Supplies > Lab Safety > Lab Spill Control & Containment",,,
