L1,L2,L3,L4,Final level Category,product_id,product_name
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664082,"Bulbrite 12 Watt 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 3000K Soft White Light, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664096,"Bulbrite 5"" Round 10.3-Watt 3000K LED Flush Mount Light, 850 Lumens, White (773600)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24588843,"Adesso Eliza 1-Light Incandescent Pendant, Black/Smoked Glass (2141-01)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24588777,"Adesso Hazel 1-Light Incandescent Pendant, Antique Brass/White (4276-21)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664097,"Bulbrite 5"" Round 10.3-Watt 3000K LED Flush Mount Light, 850 Lumens, Black (773601)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664091,"Bulbrite 9 Watt Adjustable 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 4000K Cool White, 650 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24686491,"Adesso Incandescent Swirl Flush Mount Lamp, 11.5""H, Antique Brass/White Swirl Glosted Glass (3254-21)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664081,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, Black, 12/Pack (862902)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664074,"Bulbrite 14 Watt 7"" LED Disc Light, 5CCT Selectable - 27/30/35/40/50K, 1100 Lumens, 6/Pack (862882)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664092,"Bulbrite 9W Adjustable 4"" Integrated LED Gimbal Downlight with E26 Quick Connect, 2700K Warm White, 650 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664075,"Bulbrite 14 Watt 7"" LED Disc Light, 5CCT Selectable - 27/30/35/40/50K, 1100 Lumens, 12/Pack (862883)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664073,"Bulbrite 14 Watt 7"" LED Disc Light, 5CCT Selectable - 27/30/35/40/50K, 1100 Lumens, 4/Pack (862881)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24588829,"Adesso Bristol 1-Light Incandescent Pendant, Dark Bronze/Clear (4287-01)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664099,"Bulbrite 5"" Round 10.3-Watt 5 Color Selectable LED Flush Mount Light, 850 Lumens, White (773603)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664080,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, Black, 6/Pack (862901)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664094,"Bulbrite 12 Watt 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 5CCT - 27/30/35/40/50K, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664076,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, White, 4/Pack (862897)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664090,"Bulbrite 14W Adjustable 5/6"" Integrated LED Recessed Downlight with E26 Quick Connect, 3000K Soft White, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664077,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, White, 6/Pack (862898)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664100,"Bulbrite 7"" Round 14-Watt 3000K LED Flush Mount Light, 1150 Lumens, White (773604)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664107,"Bulbrite 9"" Round 17-Watt 5 Color Selectable LED Flush Mount Light, 1400 Lumens, White (773611)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664098,"Bulbrite 5"" Round 10.3-Watt 3000K LED Flush Mount Light, 850 Lumens, Nickel (773602)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24571646,"Stonco, Garage and Canopy DualSelect LED Ceiling Lamp, Bronze (911401872181)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664085,"Bulbrite 9 Watt Adjustable 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 2700K Warm White, 650 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,3130546,"Newhouse Lighting 4 ft. Linkable LED Shop Light, 55 Watt/5K Lumens, 4/Pack, Gray (NH-SHOP-M4FT-4)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664105,"Bulbrite 9"" Round 17-Watt 3000K LED Flush Mount Light, 1400 Lumens, Black (773609)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664103,"Bulbrite 7"" Round 14-Watt 5 Color Selectable LED Flush Mount Light, 1150 Lumens, White (773607)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664084,"Bulbrite 12 Watt 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 2700K Warm White Light, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664083,"Bulbrite 12 Watt 4"" Integrated LED Recessed Downlight with E26 Quick Connect, 4000K Cool White Light, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24686492,"Adesso Incandescent Swirl Pendant Lamp, 10.5""H, Antique Brass/White Swirl Glosted Glass (3256-21)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664102,"Bulbrite 7"" Round 14-Watt 3000K LED Flush Mount Light, 1150 Lumens, Nickel (773606)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664078,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, White, 12/Pack (862899)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,3130543,"Newhouse Lighting 4 ft. LED Shop Light, 100 Watt/10K Lumens, Black (NH-SHOP-M4FT10K)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664106,"Bulbrite 9"" Round 17-Watt 3000K LED Flush Mount Light, 1400 Lumens, Nickel (773610)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664087,"Bulbrite 14W Adjustable 5/6"" Integrated LED Gimbal Downlight with E26 Quick Connect, 3000K Soft White, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664101,"Bulbrite 7"" Round 14-Watt 3000K LED Flush Mount Light, 1150 Lumens, Black (773605)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664086,"Bulbrite 14 Watt Adjustable 5/6""Integrated LED Recessed Downlight, E26 Quick Connect, 4000K Cool White, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24588810,"Adesso Dale 1-Light Incandescent/CFL Pendant, Matte Black/Natural Rubberwood (6267-01)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664093,"Bulbrite 9W Adjustable 4"" Integrated LED Gimbal Downlight with E26 Quick Connect, 3000K Soft White, 650 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,3130545,"Newhouse Lighting 4 ft. LED Shop Light, 100 Watt/10K Lumens, 4/Pack, Black (NH-SHOP-10K-4)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664088,"Bulbrite 14W Adjustable 5/6"" Integrated LED Gimbal Downlight with E26 Quick Connect, 2700K Warm White, 1100 Lumens, 4/Pack"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,24664079,"Bulbrite 14 Watt 7"" LED Disc Light with Pigtail - 3000K Soft White Light, 1100 Lumens, Black, 4/Pack (862900)"
Furniture,Lamps & Lighting,Ceiling Lighting,,Ceiling Lighting,3130556,"Newhouse Lighting 4 ft. Linkable LED Shop Light, 55 Watt/5K Lumens, Gray (NH-SHOP-M4FT)"
