Staples L2,L1,L2,L3,L4,category,product_id,product_name,price,url,vendor,selected_choice,description
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W112121311,Volia Capa Print Fabric Armless Contemporary Accent Chair,$177.99,https://www.wayfair.com/furniture/pdp/winston-porter-volia-capa-print-fabric-armless-contemporary-accent-chair-w112121311.html?piid=787653006,Winston Porter,Gray/Cream/Orange Floral Polyester Blend,"This Slipper Chair is a charming accent chair that's easily adaptable for any decor. Its heavy fabric upholstery features a beautiful pattern that's available in your choice of colors. All fabrics are pre-approved for wearability and durability against AHFA standards. Cushion cores are constructed of low-melt fiber wrapped over high quality foam. A sturdy frame supports the piece, constructed from solid kiln-dried hardwood and finished in a rich espresso. Padding is provided with high-density foam. | I love this chair so much. I needed something that would fit in the corner and not stick out too much and it fit perfectly. It was easy to put together too. The fabric is nice and I love the pattern.. Kimberly. Pennsburg, PA. Sat Jul 18 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W005040538,Kaelan Upholstered Club Chair with Ottoman,$489.99,https://www.wayfair.com/furniture/pdp/red-barrel-studio-kaelan-2925-wide-polyester-club-chair-and-ottoman-w005040538.html?piid=549938837,Red Barrel Studio®,Navy Polyester,"With sophisticated lines and double stitch detailing our club chair with matching ottoman will elevate any interior. A gently reclined stance, curved armrests, and matching ottoman will provide a laid-back relaxing retreat. The refined silhouette of a generous padded back and seat cushion, supported by dense foam and sinuous spring construction, paired with trendy yet classic upholstery will provide an appealing design statement. Create a modern vibe in your living room or add a soft throw and accent pillows for a more traditional feel. Ideal for a family room or the final touch to a special guest room. Derive instant gratification with easy 3-step toolless assembly. | The chair is really great, nice vibrant color, sturdy & firm. Was boxed with only the legs to assemble!. Karla. Champlin, MN. Thu Jul 09 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W100782276,Millissa Farmhouse Solid Wood Accent Armchair with Spindle Turned Wood Frame,$319.99,https://www.wayfair.com/furniture/pdp/bungalow-rose-millissa-farmhouse-solid-wood-accent-armchair-with-spindle-turned-wood-frame-w100782276.html?piid=1594165821,Bungalow Rose,Brown/Beige,"The solid wood frame with beautiful spindle detailing allows you to enjoy traditional style as well as create a designer feel to your decoration. Deep, cozy cushions keep you comfortable and relaxed. The inner coil spring cushion is surrounded by dense foam and sinuous spring supports that will keep your chair lasting for years to come. Please note the number of chairs for sale in this link is one. | I love this chair, very comfortable holds its shape well.. Amber. Nixa, MO. Mon Aug 03 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W117265715,"Sleeper Chair Pull Out Bed, 4-in-1 Convertible Sofa with Massage & USB Port for Small Spaces",$305.99,https://www.wayfair.com/furniture/pdp/george-oliver-sleeper-chair-pull-out-bed-4-in-1-convertible-sofa-with-massage-usb-port-for-small-spaces-w117265715.html?piid=273681996,George Oliver,Gray,"This 4-in-1 convertible sleeper chair features pull-out bed, massage lumbar pillow, USB/Type-C ports, and cup holders. Converts from chair (32.28""L) to bed (69.69""L). Supports 380 lbs with faux leather upholstery. Perfect for small apartments, dorms, or home offices with space-saving design. | Easy to assemble but this piece is extremely firm.Hard as a matter of fact.Not comfy to sleep in or sit in. Karin. Green Cove Springs, FL. Fri Sep 18 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W007574146,Asul Armchair with Nailhead Trim,$269.99,https://www.wayfair.com/furniture/pdp/wade-logan-asul-armchair-with-nailhead-trim-w007574146.html?piid=2144166796,Wade Logan®,Floral Velvet,"This armchair pairs a mid-century modern silhouette with a textured velvet surface for a tailored look in your space. It's crafted with a solid and engineered wood frame, and it rests on splayed legs for a retro-inspired feel. The floral upholstery adds depth across the round arms and fixed back, while foam filling and sinuous springs provide supportive comfort during your downtime. Decorative nailhead trim outlines the frame to create a crisp, finished profile. Plus, the removable seat cushion makes it easy to keep your seating area tidy. | Absolutely stunning! I love it, excellent quality. Pauline. Newark, DE. Sun Jul 19 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W005617476,Beachwood Upholstered Armchair,$146.99,https://www.wayfair.com/furniture/pdp/loon-peak-beachwood-25375-w-armchair-w005617476.html?piid=297072041,Loon Peak®,Light Camel Microfiber,"The classic mid-century modern chair is the perfect vintage-look piece to complete your mid-century modern décor, the frame of this piece is crafted from solid wood in a medium espresso finish, this attractive wood framed chair has it all, style, comfort, and durability, created with plush foam cushioning that encourages you to settle in and relax, it features a unique open-framed arm design, complete with rounded wooden accent bolt covers for an authentic retro finish, comfortably padded seat and back cushions are finished in leather-look microfiber for an elegant finishing touch. | Love the look of these chairs, and they have held up with kids over time. Stephanie. Waconia, MN. Sun Aug 16 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W003375732,Lawler Velvet Barrel Chair,$169.99,https://www.wayfair.com/furniture/pdp/everly-quinn-lawler-2637-w-velvet-barrel-chair-w003375732.html?piid=2118681572,Everly Quinn,Navy,"This leisure armchair brings a fresh feeling into your home. It’s a living room chair, and a vanity chair for a bedroom dresser as well. Mid-century modern retro leisure velvet upholstery with golden metal legs and curved back design for a comfortable seating experience, stylish appearance, and functional use for this beautiful and elegant armchair. | Perfect for the space, very small, but using it for a craft desk and it’s nice.. Heather. Rochester, NH. Thu Apr 30 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W118039717,Fynlie 42.52“ Wide Tufted Faux Leather Chesterfield Armchair Accent Chair,$359.99,https://www.wayfair.com/furniture/pdp/charlton-home-fynlie-4252-wide-tufted-chesterfield-chair-accent-chair-w118039717.html?piid=1551976319,Charlton Home®,Cocoa Faux Leather,"Elevate your home with this Chesterfield-style accent chair, a perfect statement piece for living rooms and studies. Boasting iconic deep button tufting and rounded scroll arms, it comes in plush durable upholstery for timeless vintage charm. Paired with turned solid wood legs, it balances refined style, lasting comfort and a streamlined, sophisticated look. | The chair is great it’s easy to assemble and when you sit in it it feels very deep and it looks bigger than the picture so I’m super satisfied I just wish the price would go down so I can buy another one. Anonymous. Sat Aug 29 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W116128231,Betty Chenille Upholstered Armchair With Matching Ottoman,$405.98,https://www.wayfair.com/furniture/pdp/george-oliver-betty-chenille-upholstered-armchair-with-matching-ottoman-w116128231.html?piid=1765337426,George Oliver,Yellow,"This Armchair and Ottoman combination is upholstered in soft, delicate chenille fabric for a comfortable and warm touch. The thick seat cushions and ergonomic backrest design make for a relaxing moment even more enjoyable. The sturdy solid wood construction and the warm wood grain create a natural and vintage aesthetic. The Ottoman can be used flexibly as a footrest or a standalone stool, combining functionality and decorative appeal. The collection is available in five colors: Whether you're designing a modern minimalist, retro-modern, or natural and warm, it effortlessly blends in with any style, adding comfort and style to any space. | I love this chair!! I was able to assemble it by myself using gravity! It wasn’t that hard and it only took about 35 minutes. It’s extremely comfortable and attractive!. Maureen. Green Island, NY. Mon Sep 14 2026"
Chairs & Seating,Commercial Office Furniture,Office Seating,Accent Chairs,,Accent Chairs,W118780007,2-Piece Upholstered Wingback Accent Chair and Round Rubberwood Side Table Lounge Set,$129.99,https://www.wayfair.com/furniture/pdp/ebern-designs-botanical-print-upholstered-wingback-accent-chair-with-round-rubberwood-side-table-w118780007.html?piid=1189903681,Ebern Designs,Floral,"Instantly transform any blank space into a designer-inspired retreat with this curated 2-piece lounge set. Eliminating the guesswork of furniture pairing, this collection perfectly matches a classic upholstered wingback chair with a solid rubberwood round side table. The accent chair boasts a timeless silhouette, featuring a supportive high back, elegant winged sides, and classic rolled arms that invite you to sink in and relax. Wrapped in premium, tailored upholstery and supported by finely turned wood legs, it strikes the perfect balance between sophisticated style and everyday comfort. The accompanying side table offers a seamless resting place for your morning coffee, a reading lamp, or your favorite book. Whether anchoring a cozy reading nook, elevating a guest bedroom, or completing a living room arrangement, this ready-to-style duo delivers a polished, collected look with zero extra effort. | Absolutely love my new accent chair. It was incredibly easy to put together and is the perfect addition to my library. The fabric is nice and soft and the high back offers good support. There were a few little dirt spots, but I was able to clean them with a damp cloth. The little side table is an added bonus!. Lisa. Naples, FL. Sat Sep 05 2026"
